dialect_code,variant_name
00616,Dausuami Mubami
00616,Mahigi
00616,Mubami
00616,Mubami: Dausuami
00616,Mubani: Dausuami
00616,Ta
00616,Tao-Suamato
00616,Tao-Suame
00619,Bodo: Kachari
00619,Boro
00619,Boroni
00619,Kachari: Boro
00619,बोडो: कछारी
00622,Borei
00622,Gamai
00622,Gamei
00622,Mbore
00622,Mborei
00634,Bonggu
00634,Bonggu: Sauch
00634,Bongu
00634,Bongu: Sauch
00634,Sauch of Bonggu
00637,Bine: Boze-Giringarede
00637,Boje
00637,Buji
00641,Coast Kiwai
00641,Kiwai: Coastal
00641,"Kiwai, Southern: Coast"
00641,"Kiwai, Southern: Coast Kiwai"
00643,Apanepi
00647,Labo
00647,Mewun
00647,Nide
00647,Ninde
00648,Inakona
00648,Talise: Koo
00648,Talisi
00648,Tolo
00652,Delena
00652,Waima: Roro
00657,Kerema
00657,Nisa
00660,Korku: Ramekhera
00660,Kurku
00660,कोर्कू: रामेखेड़ा
00665,Astor
00665,Dras
00665,Gurezi
00665,Kashmiri: Gurezi
00665,Kharmangi
00665,Satpara
00665,Shina: Astori
00665,Shina: Dras
00665,Shina: Gurezi
00665,Shina: Kharmangi
00665,Shina: Satpara
00665,शिना: गुरेज़ी
00666,Azad Kashmiri
00666,Gogri
00666,Gojri
00666,Gujar
00666,Gujer
00666,Gujjari
00666,Gujuri
00666,Gujuri Rajasthani
00666,Gurjar
00666,Kashmir Gujuri
00666,Rajasthani Gujuri
00666,गोजरी
00673,셰르파
00673,Central Sherpa
00673,Khumbu
00673,Namche Bazar
00673,Serwa: Solu
00673,Sharpa: Solu
00673,Sherpa: Solu
00673,Sherpa: Solu-Khumba/Namche Baz
00673,Sherpa: Solukhumbu
00673,Sherpa: Solu Khumbu
00673,Sherpa: Solu-Khumbu
00673,Solu
00673,Solu-Khumbu
00673,Xiaerba: Solu
00673,शेर्पा: सोलु
00673,西而巴
00673,雪尔帕语
00673,雪爾帕語
00674,नगालोंग
00680,Bac Viet
00680,North
00680,Northern Vietnamese
00680,Vietnam: Bac Viet
00680,Vietnamese: Hanoi
00680,Vietnamese: North
00680,Vietnamese: Northern Vietnamese
00680,Vietnam: Hanoi
00680,京
00680,越南人
00683,Adi: Miching
00683,Miri: Miching
00683,Saingya
00683,Sutiya
00683,मीरी: मिचिंग
00687,Miri: Sili
00687,Mising: Sili
00687,OpenMising: Sili
00687,xx
00687,मीरी:सिली
00690,Bhotia
00690,Dbus
00690,Hsifan
00690,Phoke
00690,"Tibetan, Central"
00690,Tibetan: Central
